audit_id,date,floor,ward,department,checklist_type,status,priority,assigned_staff,completion_time,image_uploaded,escalation_status,risk_score,compliance_score
A0052,2025-03-21,2,General Ward,Critical Care,Safety Audit,Pass,Critical,S019,8,Yes,Open,71,62
A0053,2025-02-02,5,OT,Surgery,Hygiene Audit,Pass,Critical,S022,59,No,Open,67,94
A0054,2025-03-04,5,ICU,Outpatient,Safety Audit,Fail,Medium,S001,16,No,Closed,52,68
A0055,2025-06-12,3,OT,Patient Care,Fire Safety Audit,Fail,Low,S016,18,Yes,Closed,57,98
A0056,2025-03-07,3,Laboratory,Outpatient,Fire Safety Audit,Pending,Medium,S009,38,No,Open,43,77
A0057,2025-05-30,1,General Ward,Surgery,Hygiene Audit,Pass,Medium,S005,8,Yes,Open,36,92
A0058,2025-05-23,1,Laboratory,Outpatient,Hygiene Audit,Pending,Medium,S021,37,No,Closed,36,69
A0059,2025-04-20,5,ICU,Critical Care,Hygiene Audit,Pending,Low,S023,41,No,Open,92,66
A0060,2025-02-05,4,ICU,Critical Care,Waste Audit,Pending,Medium,S004,40,No,Closed,88,100
A0061,2025-05-08,4,General Ward,Patient Care,Safety Audit,Pass,High,S026,7,No,Open,55,66
A0062,2025-05-08,2,ICU,Critical Care,Waste Audit,Pending,Medium,S006,22,Yes,Closed,76,79
A0063,2025-04-10,1,Laboratory,Diagnostics,Fire Safety Audit,Fail,Low,S004,16,Yes,Closed,25,79
A0064,2025-04-13,5,OT,Patient Care,Hygiene Audit,Fail,High,S025,37,No,Open,22,97
A0065,2025-03-22,4,ICU,Outpatient,Waste Audit,Pending,Low,S006,22,No,Open,78,78
A0066,2025-05-01,2,General Ward,Patient Care,Safety Audit,Pass,Medium,S004,24,Yes,Closed,84,89
A0067,2025-02-05,5,General Ward,Patient Care,Fire Safety Audit,Pending,Low,S021,48,Yes,Open,72,96
A0068,2025-03-26,5,Laboratory,Patient Care,Fire Safety Audit,Pass,Low,S030,49,No,Open,22,60
A0069,2025-03-03,5,Laboratory,Critical Care,Hygiene Audit,Pass,Critical,S009,39,No,Open,34,98
A0070,2025-06-06,5,Laboratory,Patient Care,Fire Safety Audit,Pending,Low,S014,41,No,Open,54,63
A0071,2025-02-04,2,ICU,Diagnostics,Safety Audit,Pending,Low,S013,20,No,Open,55,74
A0072,2025-06-09,2,ICU,Surgery,Safety Audit,Pending,High,S025,48,Yes,Open,36,70
A0073,2025-01-15,1,ICU,Patient Care,Safety Audit,Fail,Critical,S008,35,Yes,Open,24,80
A0074,2025-02-23,1,OPD,Surgery,Waste Audit,Pending,Low,S016,16,Yes,Closed,89,82
A0075,2025-04-06,5,General Ward,Patient Care,Fire Safety Audit,Pending,High,S017,8,No,Open,90,88
A0076,2025-01-22,5,OT,Patient Care,Fire Safety Audit,Pending,Medium,S008,49,No,Closed,38,71
A0077,2025-03-09,3,Laboratory,Diagnostics,Hygiene Audit,Pending,High,S002,37,No,Closed,90,69
A0078,2025-03-29,3,OPD,Patient Care,Fire Safety Audit,Fail,Critical,S023,28,No,Open,25,88
A0079,2025-01-24,5,General Ward,Patient Care,Fire Safety Audit,Pass,Critical,S009,31,No,Open,25,70
A0080,2025-04-15,1,General Ward,Surgery,Fire Safety Audit,Fail,Low,S014,56,Yes,Open,91,70
A0081,2025-01-24,1,ICU,Critical Care,Safety Audit,Pending,High,S003,18,Yes,Closed,44,83
A0082,2025-01-10,3,OT,Outpatient,Waste Audit,Pass,Critical,S008,21,No,Open,52,76
A0083,2025-02-02,4,ICU,Diagnostics,Safety Audit,Fail,Critical,S026,10,Yes,Closed,78,99
A0084,2025-02-27,3,OT,Diagnostics,Fire Safety Audit,Pending,High,S002,37,Yes,Closed,47,67
A0085,2025-03-14,3,OPD,Surgery,Hygiene Audit,Pending,Low,S015,22,Yes,Open,42,73
A0086,2025-01-14,3,ICU,Patient Care,Safety Audit,Fail,Medium,S019,34,Yes,Open,53,95
A0087,2025-01-11,5,General Ward,Surgery,Fire Safety Audit,Pass,Low,S019,36,Yes,Open,93,73
A0088,2025-01-24,5,General Ward,Outpatient,Safety Audit,Fail,High,S029,30,No,Closed,62,92
A0089,2025-04-24,3,Laboratory,Surgery,Fire Safety Audit,Fail,Critical,S007,56,Yes,Closed,84,94
A0090,2025-05-03,5,OT,Patient Care,Fire Safety Audit,Pass,Critical,S019,56,Yes,Closed,33,92
A0091,2025-01-29,4,OPD,Surgery,Fire Safety Audit,Fail,Low,S019,17,Yes,Closed,71,73
A0092,2025-05-16,4,OPD,Surgery,Fire Safety Audit,Pending,High,S028,29,No,Closed,49,81
A0093,2025-04-13,3,OT,Outpatient,Safety Audit,Pass,Medium,S013,47,Yes,Closed,61,83
A0094,2025-06-28,3,OPD,Patient Care,Safety Audit,Pending,High,S007,48,No,Open,24,80
A0095,2025-05-19,5,OPD,Outpatient,Fire Safety Audit,Pass,Medium,S006,22,No,Open,39,87
A0096,2025-04-26,1,ICU,Critical Care,Hygiene Audit,Fail,High,S014,54,No,Closed,40,62
A0097,2025-06-30,3,Laboratory,Surgery,Safety Audit,Pending,High,S013,56,Yes,Closed,78,63
A0098,2025-05-01,1,Laboratory,Critical Care,Fire Safety Audit,Pass,High,S011,49,Yes,Open,50,84
A0099,2025-03-20,1,OT,Outpatient,Fire Safety Audit,Pending,Medium,S011,48,No,Open,47,83
A0100,2025-03-15,2,ICU,Critical Care,Fire Safety Audit,Fail,Critical,S024,55,Yes,Open,94,90
A0101,2025-06-05,1,OPD,Diagnostics,Hygiene Audit,Pass,Medium,S011,56,Yes,Open,52,83
A0102,2025-03-26,2,OPD,Outpatient,Waste Audit,Pending,High,S028,11,No,Closed,56,69
A0103,2025-01-29,1,OT,Patient Care,Fire Safety Audit,Fail,Critical,S010,54,No,Closed,21,95
A0104,2025-02-13,4,OPD,Patient Care,Hygiene Audit,Pass,Low,S004,56,No,Closed,56,99
A0105,2025-01-29,2,OT,Patient Care,Waste Audit,Fail,Medium,S024,10,Yes,Closed,83,74
A0106,2025-04-22,2,General Ward,Critical Care,Safety Audit,Pass,Low,S002,7,No,Closed,57,89
A0107,2025-05-20,4,Laboratory,Surgery,Safety Audit,Pass,Critical,S021,28,Yes,Closed,82,90
A0108,2025-05-17,4,OT,Surgery,Safety Audit,Pending,High,S012,9,Yes,Open,76,94
A0109,2025-06-18,1,OT,Surgery,Waste Audit,Pass,Medium,S007,36,Yes,Closed,93,89
A0110,2025-04-09,2,OT,Diagnostics,Fire Safety Audit,Pass,Medium,S011,30,No,Open,75,61
A0111,2025-01-28,1,OT,Critical Care,Hygiene Audit,Fail,Critical,S026,30,Yes,Open,42,81
A0112,2025-04-09,2,ICU,Critical Care,Hygiene Audit,Pass,Critical,S011,46,Yes,Closed,34,88
A0113,2025-02-17,4,OT,Diagnostics,Hygiene Audit,Fail,Low,S001,47,No,Closed,72,71
A0114,2025-05-08,4,OT,Critical Care,Fire Safety Audit,Pending,Low,S030,24,Yes,Open,83,69
A0115,2025-05-11,1,Laboratory,Critical Care,Fire Safety Audit,Pass,Critical,S026,34,No,Open,43,98
A0116,2025-06-27,1,OPD,Diagnostics,Fire Safety Audit,Pass,High,S024,31,Yes,Open,62,65
A0117,2025-05-11,5,OT,Diagnostics,Hygiene Audit,Fail,Critical,S013,51,Yes,Open,85,91
A0118,2025-04-30,2,OT,Diagnostics,Fire Safety Audit,Pass,Medium,S017,27,No,Open,58,77
A0119,2025-04-16,1,General Ward,Patient Care,Fire Safety Audit,Fail,High,S013,58,Yes,Closed,54,86
A0120,2025-05-13,3,ICU,Surgery,Hygiene Audit,Pass,Critical,S017,23,No,Open,88,68
A0121,2025-06-10,5,OT,Diagnostics,Safety Audit,Pending,Low,S025,11,No,Open,72,63
A0122,2025-03-03,5,General Ward,Outpatient,Waste Audit,Pending,Medium,S023,49,No,Open,95,82
A0123,2025-02-04,1,General Ward,Critical Care,Fire Safety Audit,Pass,High,S008,50,Yes,Closed,30,61
A0124,2025-05-30,2,ICU,Patient Care,Waste Audit,Pass,Low,S014,47,No,Closed,69,83
A0125,2025-05-21,3,General Ward,Outpatient,Fire Safety Audit,Fail,Medium,S019,52,No,Open,80,88
A0126,2025-05-11,5,General Ward,Critical Care,Fire Safety Audit,Fail,Medium,S004,32,No,Open,41,99
A0127,2025-01-04,4,General Ward,Surgery,Safety Audit,Pass,Low,S012,44,No,Closed,49,87
A0128,2025-03-23,1,General Ward,Diagnostics,Safety Audit,Fail,Medium,S021,5,Yes,Closed,32,81
A0129,2025-06-05,4,OT,Patient Care,Waste Audit,Fail,Critical,S003,15,Yes,Open,84,66
A0130,2025-02-03,5,General Ward,Patient Care,Safety Audit,Pending,Medium,S028,35,No,Closed,53,93
A0131,2025-03-26,2,Laboratory,Outpatient,Hygiene Audit,Fail,Low,S001,9,No,Closed,87,95
A0132,2025-05-05,5,Laboratory,Surgery,Waste Audit,Pass,Critical,S009,17,No,Closed,79,81
A0133,2025-01-03,1,ICU,Surgery,Fire Safety Audit,Pending,Low,S007,14,No,Closed,37,85
A0134,2025-03-10,1,ICU,Patient Care,Safety Audit,Pending,Medium,S026,6,No,Closed,46,100
A0135,2025-04-28,5,OT,Surgery,Fire Safety Audit,Pass,Medium,S006,34,No,Open,72,94
A0136,2025-02-04,3,Laboratory,Outpatient,Fire Safety Audit,Pass,High,S029,49,No,Closed,29,71
A0137,2025-01-30,5,General Ward,Diagnostics,Waste Audit,Fail,Critical,S021,41,Yes,Open,91,76
A0138,2025-03-01,5,Laboratory,Patient Care,Waste Audit,Fail,Critical,S014,20,Yes,Closed,88,95
A0139,2025-06-23,1,OT,Critical Care,Safety Audit,Fail,High,S006,23,No,Open,71,67
A0140,2025-01-15,4,Laboratory,Patient Care,Hygiene Audit,Fail,High,S014,38,Yes,Open,89,82
A0141,2025-05-15,4,OT,Diagnostics,Safety Audit,Pass,Low,S008,22,No,Open,37,79
A0142,2025-05-02,5,General Ward,Patient Care,Waste Audit,Fail,Critical,S011,50,Yes,Closed,28,68
A0143,2025-02-04,1,General Ward,Outpatient,Hygiene Audit,Pass,High,S011,14,Yes,Closed,74,70
A0144,2025-04-06,1,OPD,Patient Care,Waste Audit,Pass,Medium,S005,7,Yes,Closed,64,77
A0145,2025-03-25,3,General Ward,Diagnostics,Waste Audit,Pending,High,S010,22,Yes,Closed,21,76
A0146,2025-06-28,2,OPD,Diagnostics,Fire Safety Audit,Pass,Critical,S019,19,No,Open,63,95
A0147,2025-06-11,3,ICU,Diagnostics,Safety Audit,Pass,Medium,S019,23,No,Open,90,87
A0148,2025-05-25,4,OT,Outpatient,Safety Audit,Pass,High,S021,19,No,Open,69,60
A0149,2025-01-03,2,Laboratory,Critical Care,Safety Audit,Pass,Medium,S025,56,No,Open,77,62
A0150,2025-03-15,1,OPD,Outpatient,Safety Audit,Pass,Low,S014,25,Yes,Open,24,66
A0151,2025-02-09,3,General Ward,Surgery,Safety Audit,Pass,Medium,S029,24,Yes,Open,81,79
A0152,2025-02-21,3,OT,Critical Care,Safety Audit,Pass,Critical,S013,41,Yes,Open,57,74
A0153,2025-06-03,3,OT,Diagnostics,Hygiene Audit,Pending,Critical,S029,50,Yes,Open,88,77
A0154,2025-02-12,1,Laboratory,Patient Care,Safety Audit,Pending,Medium,S016,56,No,Open,69,71
A0155,2025-05-14,4,General Ward,Outpatient,Waste Audit,Pending,Critical,S020,7,Yes,Closed,26,80
A0156,2025-05-23,2,Laboratory,Diagnostics,Safety Audit,Pending,Critical,S007,56,Yes,Open,83,62
A0157,2025-02-23,5,General Ward,Patient Care,Fire Safety Audit,Pass,Medium,S013,60,No,Open,27,94
A0158,2025-05-09,3,Laboratory,Diagnostics,Safety Audit,Pending,Critical,S008,51,No,Open,91,82
A0159,2025-01-29,1,Laboratory,Surgery,Waste Audit,Pass,Low,S016,29,Yes,Closed,71,91
A0160,2025-02-02,3,General Ward,Diagnostics,Fire Safety Audit,Pass,Low,S020,42,No,Closed,88,60
A0161,2025-01-20,1,OT,Outpatient,Hygiene Audit,Pass,Medium,S029,36,No,Closed,41,61
A0162,2025-05-30,5,OT,Surgery,Waste Audit,Pass,Medium,S030,31,Yes,Open,24,98
A0163,2025-01-18,3,Laboratory,Outpatient,Waste Audit,Pending,High,S012,41,No,Open,52,68
A0164,2025-05-09,5,ICU,Diagnostics,Waste Audit,Pass,Low,S030,8,No,Open,74,66
A0165,2025-05-07,1,OPD,Patient Care,Safety Audit,Pass,High,S022,51,Yes,Open,25,67
A0166,2025-06-02,4,OT,Critical Care,Waste Audit,Fail,High,S001,19,No,Open,42,78
A0167,2025-02-22,4,Laboratory,Patient Care,Waste Audit,Fail,High,S003,55,Yes,Closed,75,100
A0168,2025-06-11,1,OT,Critical Care,Safety Audit,Fail,Low,S016,56,No,Open,23,83
A0169,2025-06-11,3,OPD,Surgery,Hygiene Audit,Pass,Critical,S029,27,No,Open,47,75
A0170,2025-03-07,4,OPD,Critical Care,Safety Audit,Pass,Low,S012,33,No,Open,61,96
A0171,2025-01-06,3,OT,Surgery,Waste Audit,Pass,Medium,S022,40,No,Open,23,93
A0172,2025-06-20,5,OT,Critical Care,Waste Audit,Fail,High,S002,27,No,Open,80,86
A0173,2025-02-23,2,Laboratory,Surgery,Safety Audit,Pass,Low,S007,52,No,Closed,51,86
A0174,2025-01-31,4,Laboratory,Outpatient,Hygiene Audit,Pending,Low,S001,34,Yes,Closed,57,98
A0175,2025-02-12,1,Laboratory,Surgery,Safety Audit,Pending,High,S028,32,Yes,Open,61,89
A0176,2025-01-17,1,Laboratory,Outpatient,Hygiene Audit,Pass,Medium,S005,37,Yes,Open,38,91
A0177,2025-02-14,2,ICU,Critical Care,Safety Audit,Fail,Low,S008,58,No,Open,56,71
A0178,2025-06-08,1,General Ward,Surgery,Hygiene Audit,Fail,High,S018,47,Yes,Open,76,62
A0179,2025-06-07,2,ICU,Outpatient,Hygiene Audit,Fail,High,S020,28,Yes,Closed,72,86
A0180,2025-06-27,1,OT,Diagnostics,Waste Audit,Pass,High,S028,44,No,Open,51,77
A0181,2025-03-13,2,OPD,Surgery,Safety Audit,Pass,Medium,S012,13,Yes,Closed,63,78
A0182,2025-04-01,4,ICU,Outpatient,Safety Audit,Pass,Critical,S001,57,Yes,Closed,44,72
A0183,2025-02-05,2,ICU,Surgery,Safety Audit,Pending,Critical,S013,28,No,Closed,20,69
A0184,2025-02-21,5,OPD,Diagnostics,Hygiene Audit,Pending,Medium,S030,10,No,Closed,38,78
A0185,2025-01-25,2,OPD,Outpatient,Hygiene Audit,Pending,Low,S017,58,No,Open,24,72
A0186,2025-01-11,2,General Ward,Surgery,Hygiene Audit,Fail,Low,S012,5,No,Open,59,91
A0187,2025-02-03,1,General Ward,Surgery,Fire Safety Audit,Pending,High,S023,22,Yes,Open,20,66
A0188,2025-04-19,2,ICU,Outpatient,Hygiene Audit,Pass,Low,S009,32,Yes,Closed,35,66
A0189,2025-05-13,5,OPD,Diagnostics,Hygiene Audit,Pass,High,S005,5,No,Open,45,84
A0190,2025-03-14,2,OT,Surgery,Hygiene Audit,Pending,Low,S015,16,No,Closed,80,87
A0191,2025-05-06,1,OT,Outpatient,Hygiene Audit,Pending,Critical,S004,60,Yes,Closed,91,75
A0192,2025-02-26,3,OPD,Patient Care,Waste Audit,Fail,High,S021,36,No,Closed,91,79
A0193,2025-05-04,3,OPD,Critical Care,Fire Safety Audit,Pending,High,S018,19,Yes,Closed,41,88
A0194,2025-06-14,2,OT,Patient Care,Safety Audit,Pending,High,S023,34,Yes,Open,74,84
A0195,2025-01-13,2,General Ward,Patient Care,Hygiene Audit,Fail,High,S009,49,No,Open,71,98
A0196,2025-01-24,2,General Ward,Surgery,Fire Safety Audit,Fail,High,S010,12,No,Open,75,81
A0197,2025-06-26,3,General Ward,Critical Care,Hygiene Audit,Pass,Critical,S025,53,No,Closed,64,66
A0198,2025-02-22,4,General Ward,Patient Care,Safety Audit,Pass,Critical,S021,41,No,Open,87,92
A0199,2025-04-17,5,OPD,Outpatient,Safety Audit,Pass,Low,S002,21,No,Closed,59,89
A0200,2025-01-31,2,Laboratory,Outpatient,Hygiene Audit,Pass,Critical,S002,56,Yes,Closed,95,74
A0201,2025-01-02,5,OT,Critical Care,Hygiene Audit,Pass,Low,S015,11,No,Open,82,72
A0202,2025-01-10,5,ICU,Outpatient,Hygiene Audit,Pass,Medium,S020,46,No,Closed,25,76
A0203,2025-05-26,3,Laboratory,Outpatient,Safety Audit,Pending,Critical,S021,13,No,Closed,82,76
A0204,2025-05-28,4,ICU,Critical Care,Waste Audit,Fail,High,S010,56,No,Open,51,69
A0205,2025-02-06,3,General Ward,Critical Care,Waste Audit,Fail,High,S009,16,Yes,Open,70,60
A0206,2025-01-27,2,Laboratory,Surgery,Fire Safety Audit,Fail,Critical,S018,33,No,Open,53,84
A0207,2025-04-21,3,OT,Critical Care,Hygiene Audit,Fail,Medium,S006,30,Yes,Open,52,82
A0208,2025-01-22,5,Laboratory,Diagnostics,Waste Audit,Pending,High,S022,44,Yes,Closed,45,92
A0209,2025-01-24,4,OT,Outpatient,Safety Audit,Fail,Medium,S016,18,Yes,Closed,86,70
A0210,2025-04-29,2,General Ward,Patient Care,Safety Audit,Pending,High,S028,21,No,Open,49,73
A0211,2025-06-12,4,OPD,Outpatient,Fire Safety Audit,Pending,High,S027,51,No,Open,78,98
A0212,2025-05-10,4,OT,Surgery,Fire Safety Audit,Pass,Critical,S020,17,Yes,Open,47,90
A0213,2025-04-10,4,OPD,Patient Care,Safety Audit,Pass,Low,S003,20,Yes,Open,70,67
A0214,2025-06-01,4,OPD,Surgery,Waste Audit,Fail,High,S029,21,No,Open,69,96
A0215,2025-05-15,3,ICU,Critical Care,Hygiene Audit,Pass,Critical,S015,54,No,Open,81,99
A0216,2025-05-25,2,General Ward,Diagnostics,Waste Audit,Fail,Medium,S028,47,No,Open,39,77
A0217,2025-03-27,4,OT,Patient Care,Hygiene Audit,Pass,Medium,S008,15,No,Closed,56,86
A0218,2025-06-15,4,Laboratory,Critical Care,Fire Safety Audit,Fail,Low,S012,26,No,Closed,28,93
A0219,2025-03-20,1,Laboratory,Critical Care,Waste Audit,Pass,Critical,S023,53,Yes,Open,61,60
A0220,2025-06-15,3,ICU,Patient Care,Hygiene Audit,Pending,High,S009,28,No,Closed,51,78
A0221,2025-06-28,1,Laboratory,Surgery,Waste Audit,Pass,Low,S019,14,No,Closed,95,99
A0222,2025-02-13,2,ICU,Diagnostics,Hygiene Audit,Fail,Medium,S008,40,Yes,Open,80,69
A0223,2025-04-19,2,Laboratory,Diagnostics,Hygiene Audit,Fail,Low,S001,9,Yes,Open,87,66
A0224,2025-05-13,3,ICU,Surgery,Fire Safety Audit,Pending,Medium,S013,24,No,Open,73,94
A0225,2025-04-18,4,Laboratory,Diagnostics,Fire Safety Audit,Pass,Medium,S018,36,No,Closed,71,60
A0226,2025-04-29,1,ICU,Critical Care,Fire Safety Audit,Fail,Low,S004,58,No,Closed,47,80
A0227,2025-06-03,5,OT,Critical Care,Safety Audit,Pending,Medium,S010,9,Yes,Open,54,96
A0228,2025-05-08,2,General Ward,Diagnostics,Fire Safety Audit,Fail,Medium,S001,47,Yes,Open,62,93
A0229,2025-03-09,4,OPD,Surgery,Fire Safety Audit,Pass,Low,S003,33,Yes,Open,27,65
A0230,2025-01-21,2,OPD,Outpatient,Hygiene Audit,Pending,Medium,S007,15,Yes,Closed,68,81
A0231,2025-04-23,3,General Ward,Critical Care,Fire Safety Audit,Fail,High,S006,14,No,Closed,42,92
A0232,2025-04-18,3,ICU,Diagnostics,Safety Audit,Pass,Medium,S021,33,Yes,Closed,36,85
A0233,2025-03-10,3,Laboratory,Outpatient,Hygiene Audit,Pass,Critical,S014,46,No,Open,70,62
A0234,2025-06-07,2,ICU,Outpatient,Hygiene Audit,Pending,Low,S026,10,No,Open,34,74
A0235,2025-03-28,4,ICU,Critical Care,Hygiene Audit,Fail,Low,S012,30,Yes,Open,80,76
A0236,2025-06-07,2,Laboratory,Outpatient,Fire Safety Audit,Pending,Low,S006,9,No,Open,47,99
A0237,2025-05-21,1,General Ward,Surgery,Fire Safety Audit,Pending,Medium,S002,8,Yes,Closed,93,79
A0238,2025-06-05,2,OT,Critical Care,Waste Audit,Pass,Low,S023,26,Yes,Closed,95,89
A0239,2025-06-01,1,OPD,Critical Care,Waste Audit,Pending,High,S021,51,No,Open,75,74
A0240,2025-01-06,1,General Ward,Diagnostics,Waste Audit,Pending,High,S012,43,No,Open,80,91
A0241,2025-01-18,5,OPD,Critical Care,Waste Audit,Pending,Medium,S029,18,Yes,Open,76,80
A0242,2025-05-12,1,OPD,Critical Care,Waste Audit,Pending,Critical,S003,56,No,Open,25,97
A0243,2025-04-27,4,Laboratory,Surgery,Waste Audit,Pending,Medium,S006,13,Yes,Open,44,78
A0244,2025-04-03,4,General Ward,Outpatient,Hygiene Audit,Pass,Critical,S015,47,Yes,Closed,60,71
A0245,2025-05-15,4,OPD,Patient Care,Fire Safety Audit,Pass,Critical,S003,25,No,Open,61,85
A0246,2025-06-04,5,OT,Diagnostics,Safety Audit,Pending,Low,S010,21,Yes,Open,66,75
A0247,2025-01-19,5,OT,Critical Care,Waste Audit,Pending,Medium,S002,18,Yes,Closed,64,87
A0248,2025-05-19,5,General Ward,Diagnostics,Hygiene Audit,Fail,Medium,S018,25,No,Open,87,73
A0249,2025-01-30,1,ICU,Outpatient,Fire Safety Audit,Pending,Medium,S028,40,No,Open,84,90
A0250,2025-03-27,2,General Ward,Critical Care,Fire Safety Audit,Fail,Low,S023,57,Yes,Closed,84,78
A0251,2025-03-10,1,ICU,Surgery,Hygiene Audit,Pass,Low,S025,51,Yes,Open,88,81
A0252,2025-02-02,3,General Ward,Surgery,Fire Safety Audit,Pass,Low,S012,31,No,Open,56,93
A0253,2025-02-02,2,General Ward,Diagnostics,Fire Safety Audit,Pass,High,S013,56,No,Open,35,88
A0254,2025-03-31,2,General Ward,Outpatient,Safety Audit,Fail,Critical,S011,56,Yes,Closed,24,69
A0255,2025-05-06,1,ICU,Surgery,Fire Safety Audit,Pass,Medium,S014,44,Yes,Closed,81,76
